id,log_recommends
2,2.55347
3,1.93671
4,3.632768
5,3.545963
7,2.359845
8,4.285952
9,2.788312
10,2.999489
11,5.297516
13,2.722477
14,10.096915
17,6.313768
19,2.137414
20,3.287166
22,3.150534
23,2.646147
25,3.131762
26,2.69667
27,2.479239
28,1.941148
29,7.172367
30,4.207869
32,5.067764
33,2.106725
34,4.719629
35,4.60906
36,3.957361
37,3.042232
38,2.493257
39,3.69975
40,2.195182
42,4.300232
43,2.686678
45,1.994928
48,2.642682
50,5.569295
51,6.681293
52,1.61424
54,3.190015
55,1.849144
57,1.371483
58,2.857888
59,4.830551
60,2.727428
61,2.432081
63,4.099311
64,2.312402
65,1.157219
66,2.259265
70,2.297746
71,5.258321
72,3.225109
73,1.735643
74,2.999704
76,1.62553
78,1.550343
79,3.263348
80,3.048911
81,3.157082
82,2.325145
83,2.042887
84,2.941686
85,3.379675
87,1.879143
88,2.79862
92,1.774239
93,0.931563
94,2.148185
95,1.592893
96,1.989387
97,1.747773
98,3.053561
100,2.04454
106,1.785618
107,1.48646
108,1.768887
109,2.384471
110,1.618526
111,3.046235
113,1.368639
114,2.257395
115,0.936238
116,2.217685
118,2.809244
119,5.441265
121,3.149241
122,3.947521
123,1.281906
124,3.144512
125,5.289195
126,2.175823
127,1.57819
128,2.068964
129,4.487095
130,1.872197
131,3.91997
132,2.777805
133,1.168363
134,1.379476
138,2.922345
139,5.425384
141,2.128816
143,3.625171
144,6.662298
146,2.529966
149,3.150866
150,2.187258
151,3.505431
152,3.337189
154,2.148162
155,2.677734
156,3.788195
157,1.666875
158,3.365387
159,1.759123
161,5.503387
162,2.980256
163,1.832045
164,1.85959
165,3.285542
166,2.462609
168,3.337682
170,2.502315
171,3.383502
172,2.211596
173,1.780803
175,2.933135
176,3.286088
178,3.273309
179,4.11494
181,2.249631
184,3.764851
185,3.791977
186,3.367026
187,1.503087
188,2.835479
193,1.608658
194,3.123975
195,4.454869
196,3.402772
200,2.370565
202,2.143629
204,1.367285
205,2.324427
206,2.753368
207,2.729358
208,1.779116
211,2.151249
212,2.317378
213,1.909212
214,3.298429
215,1.41626
216,2.468807
217,2.457911
218,1.423145
221,2.24546
226,1.888771
228,2.962536
230,2.075248
233,1.485261
236,3.245145
238,1.9647
239,6.249872
240,1.513596
241,2.727962
242,2.689303
244,4.206394
245,3.122535
248,1.889662
249,2.74381
250,3.500055
251,2.211737
253,1.431053
257,1.858961
259,2.965289
260,1.852514
263,2.606901
271,2.143816
274,1.929779
275,2.473172
276,1.153715
278,3.912827
279,4.574952
280,1.933598
284,3.584555
285,1.805158
288,1.66609
289,1.788886
294,3.688581
295,2.632371
296,2.911389
297,1.49035
299,2.321909
300,2.824365
301,2.550549
303,3.705484
304,3.380779
305,1.706158
307,4.389131
310,1.959965
312,2.778329
314,1.513164
318,2.108047
321,2.595901
322,2.474222
323,3.740763
324,1.947962
325,4.438643
326,1.29446
329,4.585476
330,2.244841
331,2.461164
332,4.285026
333,5.640683
334,1.714899
336,2.052834
341,3.503559
342,6.657052
343,2.044338
344,2.025973
345,4.840263
346,2.501243
347,2.69072
348,1.582717
349,2.584893
350,2.153026
351,2.2025
352,2.366432
353,3.85737
354,5.065092
357,4.178624
358,3.486243
360,2.314471
361,2.955436
362,1.161277
370,3.693984
371,1.86972
373,2.989573
375,4.010521
378,1.597331
380,2.881118
381,3.419681
383,1.249544
384,2.656645
385,2.467123
386,2.437463
389,1.810329
398,3.410957
404,2.043176
405,3.145857
411,2.043159
412,2.875692
413,2.07637
414,2.780581
415,2.502996
416,2.719963
418,2.104954
421,1.535819
422,3.94855
423,3.909701
424,2.806043
426,2.337177
429,6.242124
430,2.402915
431,6.295623
432,3.14648
433,1.798305
434,1.443852
436,2.959388
438,1.938134
440,1.968946
442,1.867206
447,3.203081
449,1.544187
450,2.642649
451,2.383781
452,2.650342
453,3.098996
455,1.643495
457,4.18767
458,3.156565
459,1.652077
460,2.882392
461,2.846547
464,1.852547
466,2.554961
467,2.476635
470,2.461912
472,6.936936
474,2.408693
478,2.66532
480,3.45784
481,2.941593
482,2.171338
486,4.352157
487,4.631046
488,2.826253
489,3.829045
490,2.23175
491,2.113991
493,4.21426
494,3.808411
495,3.552799
496,3.362056
499,2.831411
500,6.704622
502,2.724728
503,4.70326
504,3.220614
505,2.380697
513,3.856323
514,2.571865
515,2.351435
516,2.532416
519,1.8491
521,2.484905
523,2.821993
525,4.597661
526,4.30449
529,1.945819
530,4.4363
531,2.430253
535,3.809139
536,2.575251
537,1.337433
540,5.072357
541,5.075253
542,1.305409
543,2.609714
546,4.100452
549,3.425398
557,1.434052
558,3.16615
559,2.338189
561,3.250285
565,2.66118
566,2.010526
567,2.724087
568,3.527785
572,2.848536
574,2.253743
576,1.534584
577,2.520407
579,2.60415
582,2.177875
583,2.762873
586,3.533508
587,2.307497
588,2.141203
589,1.51037
590,2.448126
591,1.803747
592,2.040411
593,3.857286
594,1.84111
595,2.755908
596,2.125103
599,2.521108
600,2.068581
601,2.591883
604,2.179609
605,1.801562
607,3.165236
610,2.012561
611,2.263977
614,1.565596
615,2.852116
