id,log_recommends
2,1.910465
3,2.491161
4,2.829225
5,2.818968
7,2.189713
8,4.884136
9,3.156742
10,4.01591
11,4.861672
13,2.225921
14,10.859019
17,6.125546
19,1.663979
20,2.472856
22,2.552538
23,1.760995
25,2.028132
26,1.713225
27,1.429655
28,2.13805
29,7.027654
30,4.086442
32,4.460889
33,1.622634
34,4.236915
35,4.277427
36,3.638614
37,2.627835
38,1.726059
39,2.635921
40,1.459361
42,3.650847
43,2.425215
45,1.380978
48,1.958565
50,5.143347
51,6.628986
52,1.764911
54,2.938463
55,2.338019
57,1.506659
58,2.458756
59,4.465526
60,1.523323
61,1.739331
63,4.996471
64,2.355293
65,1.058708
66,2.107404
70,2.186659
71,4.205034
72,2.997496
73,1.202465
74,1.968104
76,0.916092
78,1.872899
79,2.438354
80,2.176136
81,2.343197
82,2.074946
83,1.625322
84,0.641178
85,2.420543
87,1.783534
88,2.182392
92,1.691935
93,1.388853
94,1.886447
95,1.964322
96,1.252281
97,1.314241
98,2.013783
100,1.443855
106,1.372223
107,1.427602
108,1.484864
109,1.437474
110,1.512549
111,2.404906
113,1.354647
114,1.285439
115,1.284147
116,1.219339
118,2.444044
119,5.934891
121,2.994653
122,3.922159
123,1.132953
124,2.146515
125,5.544203
126,1.341879
127,1.177231
128,2.18592
129,3.980722
130,1.225187
131,4.77891
132,1.898065
133,1.451011
134,1.523988
138,2.421801
139,6.546543
141,1.834606
143,2.894523
144,6.008328
146,2.174974
149,2.293353
150,1.703424
151,3.089934
152,3.069357
154,1.883313
155,3.268434
156,4.24299
157,1.466758
158,2.769179
159,1.880812
161,5.492475
162,2.543966
163,1.601958
164,1.370576
165,2.626191
166,1.312445
168,2.101504
170,2.237259
171,2.493499
172,1.358132
173,1.640521
175,2.218323
176,3.00046
178,2.685082
179,3.791437
181,1.663184
184,2.603546
185,3.062416
186,3.09077
187,1.464914
188,2.582175
193,1.331741
194,2.197025
195,4.249801
196,2.375783
200,1.99899
202,1.495768
204,1.193507
205,2.481595
206,2.615891
207,2.731444
208,1.280876
211,1.383033
212,2.243157
213,1.631476
214,3.824586
215,1.338607
216,2.221368
217,2.174366
218,0.977694
221,1.819852
226,1.129735
228,2.523964
230,1.828636
233,1.531348
236,2.671569
238,1.511458
239,7.137988
240,1.445572
241,2.518322
242,2.286932
244,3.417006
245,2.775582
248,1.781647
249,1.848373
250,2.940753
251,1.911306
253,1.413074
257,2.147033
259,2.273667
260,1.379536
263,2.301412
271,1.729656
274,1.427027
275,1.610441
276,1.428512
278,2.446932
279,5.540612
280,1.386121
284,2.857784
285,1.754709
288,1.731722
289,2.042244
294,3.271573
295,1.921798
296,1.833129
297,1.602648
299,1.72377
300,2.740896
301,2.439009
303,4.66526
304,5.158566
305,1.922557
307,3.483175
310,1.540498
312,2.066653
314,1.43923
318,1.96618
321,1.905293
322,1.484098
323,3.716616
324,1.930802
325,5.081716
326,1.451203
329,3.365204
330,1.9877
331,1.967166
332,5.229867
333,5.317442
334,2.234553
336,1.723338
341,3.075461
342,10.261171
343,2.077839
344,1.631039
345,4.986364
346,1.9027
347,2.282003
348,1.07338
349,2.845891
350,1.663398
351,2.215999
352,2.848921
353,3.396388
354,4.449736
357,3.474297
358,3.513538
360,1.644563
361,2.538989
362,1.761877
370,2.901255
371,1.390924
373,2.528645
375,3.120277
378,1.095564
380,2.059468
381,2.693297
383,1.652236
384,3.15777
385,2.034634
386,1.802652
389,1.657743
398,2.867851
404,1.051256
405,2.230392
411,2.512581
412,2.309883
413,1.330379
414,2.314328
415,2.549965
416,2.358442
418,1.762437
421,1.486187
422,3.884375
423,4.713543
424,2.668856
426,1.917991
429,6.268626
430,2.002198
431,5.756868
432,2.488073
433,1.786958
434,1.680297
436,2.764266
438,1.320506
440,2.20228
442,1.373214
447,2.913278
449,1.747905
450,3.642014
451,2.116215
452,1.907407
453,1.963144
455,1.376131
457,4.134741
458,2.807325
459,2.024924
460,2.055974
461,2.266332
464,1.607066
466,1.847714
467,1.717285
470,2.02581
