id,log_recommends
2,1.895028
3,2.511474
4,2.837493
5,2.824302
7,2.210118
8,4.91726
9,3.17448
10,4.040914
11,4.858395
13,2.214043
14,10.859019
17,6.129719
19,1.630487
20,2.49663
22,2.576177
23,1.77382
25,2.033237
26,1.728327
27,1.438974
28,2.16449
29,7.029019
30,4.073328
32,4.481404
33,1.644736
34,4.247884
35,4.278156
36,3.651083
37,2.621239
38,1.743093
39,2.656989
40,1.472526
42,3.654086
43,2.46772
45,1.396356
48,1.979191
50,5.137844
51,6.602238
52,1.789493
54,2.945019
55,2.350968
57,1.524516
58,2.45341
59,4.474309
60,1.532811
61,1.738265
63,5.003358
64,2.369789
65,1.057193
66,2.10422
70,2.238578
71,4.224012
72,2.987247
73,1.200901
74,1.978515
76,0.929757
78,1.860101
79,2.419462
80,2.190513
81,2.354171
82,2.037163
83,1.654425
84,0.66025
85,2.431082
87,1.754893
88,2.203252
92,1.704215
93,1.435344
94,1.901313
95,1.934587
96,1.270396
97,1.322333
98,2.031425
100,1.425478
106,1.398167
107,1.452919
108,1.531853
109,1.448865
110,1.516214
111,2.417055
113,1.363528
114,1.312809
115,1.301786
116,1.246242
118,2.438194
119,5.930851
121,3.004204
122,3.920645
123,1.14597
124,2.142534
125,5.544233
126,1.368302
127,1.205184
128,2.218371
129,3.997461
130,1.253054
131,4.797225
132,1.895117
133,1.471398
134,1.549416
138,2.425035
139,6.558814
141,1.848715
143,2.900819
144,6.016793
146,2.190151
149,2.274842
150,1.718819
151,3.095058
152,3.020734
154,1.9135
155,3.287739
156,4.25173
157,1.510182
158,2.784566
159,1.892962
161,5.47473
162,2.566168
163,1.622249
164,1.385894
165,2.646956
166,1.279426
168,2.100409
170,2.249724
171,2.499407
172,1.360726
173,1.654774
175,2.225353
176,2.969524
178,2.676607
179,3.798701
181,1.654917
184,2.566614
185,3.052305
186,3.089624
187,1.478984
188,2.596241
193,1.349927
194,2.213057
195,4.266828
196,2.385264
200,1.997426
202,1.471429
204,1.177905
205,2.488667
206,2.648313
207,2.734169
208,1.290504
211,1.403307
212,2.207816
213,1.616574
214,3.848829
215,1.313995
216,2.230892
217,2.174458
218,0.970931
221,1.813842
226,1.153229
228,2.554728
230,1.825266
233,1.501707
236,2.647147
238,1.517339
239,7.123871
240,1.46266
241,2.525304
242,2.335114
244,3.421946
245,2.772969
248,1.824666
249,1.846367
250,2.95036
251,1.874427
253,1.426255
257,2.150465
259,2.280496
260,1.391773
263,2.31357
271,1.737658
274,1.445202
275,1.64096
276,1.442499
278,2.410646
279,5.524742
280,1.438145
284,2.818078
285,1.758291
288,1.738783
289,2.059239
294,3.270271
295,1.879506
296,1.835833
297,1.618704
299,1.767808
300,2.76276
301,2.399161
303,4.66341
304,5.140427
305,1.93718
307,3.465744
310,1.556145
312,2.096445
314,1.45639
318,2.007026
321,1.905706
322,1.496706
323,3.709008
324,1.97171
325,5.081839
326,1.431878
329,3.382744
330,1.990162
331,1.974357
332,5.247527
333,5.275338
334,2.234673
336,1.731743
341,3.075937
342,10.2012
343,2.090772
344,1.649408
345,5.021964
346,1.894588
347,2.291875
348,1.105285
349,2.853951
350,1.642161
351,2.219129
352,2.858422
353,3.420748
354,4.46519
357,3.491247
358,3.536219
360,1.648477
361,2.503215
362,1.78342
370,2.914167
371,1.409792
373,2.503691
375,3.084967
378,1.113766
380,2.078922
381,2.686216
383,1.675019
384,3.144526
385,2.032485
386,1.781916
389,1.681557
398,2.861766
404,1.075728
405,2.219733
411,2.534284
412,2.281948
413,1.308576
414,2.296365
415,2.571266
416,2.323251
418,1.775209
421,1.499459
422,3.880311
423,4.724895
424,2.66612
426,1.92906
429,6.286224
430,1.999715
431,5.765117
432,2.504649
433,1.816715
434,1.689911
436,2.776821
438,1.297084
440,2.249567
442,1.381694
447,2.910458
449,1.759104
450,3.654372
451,2.085609
452,1.903308
453,1.966071
455,1.369999
457,4.135139
458,2.815399
459,2.047894
460,2.075993
461,2.294888
464,1.605194
466,1.864391
467,1.697164
470,2.017629
472,6.454395
474,1.85423
478,2.157009
480,3.403147
481,2.661331
482,2.112016
486,3.602351
487,3.938824
488,2.19618
489,2.732843
490,2.046365
491,2.008827
493,3.613174
494,4.502264
495,3.154292
496,3.098786
499,3.445945
500,6.391577
502,2.840816
503,4.073831
504,3.469005
505,1.750155
513,3.272005
514,2.283344
515,1.984829
516,1.96707
519,1.974031
521,1.467724
523,2.864823
525,4.506553
526,2.899363
529,1.48946
530,4.5996
531,2.442283
535,4.81888
536,2.051563
