id,log_recommends
2,2.429047
3,2.161601
4,3.594293
5,3.250205
7,2.233409
8,3.6047
9,2.607685
10,3.462795
11,5.237371
13,2.630532
14,8.53563
17,6.130501
19,2.077318
20,3.384458
22,3.277802
23,2.54715
25,2.966167
26,2.581876
27,2.543552
28,1.980833
29,7.033363
30,3.997491
32,5.003304
33,2.157922
34,4.835916
35,4.59467
36,3.784965
37,2.920695
38,2.486577
39,3.575024
40,2.18229
42,4.357926
43,2.793536
45,1.930882
48,2.578314
50,5.466749
51,7.008752
52,1.638194
54,3.140666
55,1.865433
57,1.348035
58,2.862592
59,5.023606
60,2.592033
61,2.301786
63,4.683162
64,2.314158
65,0.917726
66,2.157928
70,2.383085
71,5.438359
72,3.081552
73,1.590702
74,3.008536
76,1.212619
78,1.639898
79,2.963176
80,2.803616
81,3.029766
82,2.101242
83,1.995826
84,3.048334
85,3.369415
87,1.80395
88,2.723607
92,1.402153
93,1.044947
94,2.004417
95,1.50271
96,2.063764
97,1.728101
98,2.958457
100,1.955215
106,1.715415
107,1.424573
108,1.668247
109,2.302229
110,1.567306
111,2.960941
113,1.31167
114,2.2161
115,1.013241
116,2.137375
118,2.691565
119,5.272003
121,3.157582
122,3.956731
123,1.22935
124,3.183828
125,5.331532
126,2.084249
127,1.529999
128,2.02411
129,4.531741
130,1.818926
131,3.829257
132,2.726625
133,1.199822
134,1.391142
138,2.913173
139,5.77511
141,1.995638
143,3.383267
144,6.8085
146,2.563385
149,3.127891
150,1.96675
151,3.158271
152,3.142029
154,2.142869
155,2.76337
156,4.009954
157,1.606547
158,3.546688
159,1.553839
161,5.553824
162,2.98482
163,1.752911
164,1.855944
165,3.059243
166,2.250538
168,3.141705
170,2.383363
171,3.138743
172,2.083734
173,1.695793
175,2.879813
176,3.147949
178,3.239753
179,3.973315
181,2.299227
184,3.712086
185,3.843929
186,3.308377
187,1.440615
188,2.836778
193,1.585921
194,2.864933
195,4.502551
196,3.342171
200,2.27194
202,2.115792
204,1.399802
205,2.286206
206,2.652707
207,2.730693
208,1.697203
211,2.076828
212,2.242694
213,1.878129
214,2.903737
215,1.220868
216,2.447433
217,2.511995
218,1.250071
221,2.200065
226,1.962021
228,2.808497
230,1.962716
233,1.224946
236,3.013141
238,2.005086
239,6.055626
240,1.430107
241,2.487036
242,2.676618
244,4.247093
245,3.130028
248,1.820372
249,2.792727
250,3.494778
251,2.13347
253,1.434968
257,1.798392
259,2.903713
260,1.846673
263,2.571817
271,2.201538
274,1.786789
275,2.412524
276,1.237443
278,3.956277
279,3.833593
280,1.971819
284,3.607653
285,1.688984
288,1.910774
289,1.850658
294,3.581481
295,2.596699
296,2.764655
297,1.392765
299,2.353986
300,2.718115
301,2.291832
303,3.909029
304,3.659367
305,1.563663
307,3.923823
310,1.962118
312,2.501288
314,1.531001
318,2.084861
321,2.534503
322,2.265923
323,3.547501
324,1.816806
325,4.435033
326,1.331346
329,4.376933
330,2.129821
331,2.470325
332,4.192618
333,5.38978
334,1.742378
336,2.08867
341,3.306731
342,6.816251
343,1.957088
344,1.902297
345,4.804137
346,2.489929
347,2.595435
348,1.507318
349,2.449086
350,2.041694
351,2.038671
352,2.421433
353,3.982372
354,5.035264
357,4.258896
358,3.367952
360,2.244173
361,2.932808
362,1.928335
370,3.366181
371,1.793453
373,3.010466
375,3.933106
378,1.437221
380,2.807146
381,3.522045
383,1.182269
384,2.672715
385,2.386227
386,2.64556
389,1.720699
398,2.728887
404,1.981335
405,2.937448
411,2.258199
412,2.834363
413,2.011739
414,2.727196
415,2.473736
416,2.656589
418,2.00507
421,1.575125
422,3.921574
423,3.732833
424,2.580839
426,2.341067
429,6.033555
430,2.387671
431,5.933353
432,2.979712
433,1.685335
434,1.421896
436,2.777351
438,1.864583
440,2.018636
442,1.876634
447,3.145278
449,1.514145
450,2.671844
451,2.273794
452,2.496607
453,3.011645
455,1.674152
