id,log_recommends
2,2.232775
3,2.22014
4,3.490686
5,3.184557
7,2.295341
8,3.61763
9,2.611668
10,3.163947
11,5.029463
13,2.560819
14,8.670854
17,5.90811
19,2.036845
20,3.422043
22,3.221258
23,2.61881
25,3.061851
26,2.540732
27,2.652834
28,2.069733
29,7.032103
30,3.815831
32,5.183376
33,2.226821
34,4.897334
35,4.691277
36,3.829731
37,2.994038
38,2.4029
39,3.495851
40,2.148224
42,4.181937
43,2.72349
45,1.90987
48,2.609289
50,5.36757
51,6.323364
52,1.803067
54,3.14987
55,1.896918
57,1.370161
58,2.907372
59,5.035759
60,2.507832
61,2.297546
63,4.575626
64,2.318938
65,0.829173
66,2.305629
70,2.336302
71,5.538984
72,3.052334
73,1.786286
74,2.996388
76,1.289242
78,1.545099
79,2.714265
80,2.851854
81,3.096149
82,2.020341
83,2.111219
84,2.887306
85,3.403217
87,1.649825
88,2.804576
92,1.627018
93,1.224359
94,2.119252
95,1.475647
96,2.196416
97,1.849655
98,2.902624
100,1.970286
106,1.750852
107,1.618452
108,1.67561
109,2.283164
110,1.760483
111,3.028768
113,1.335985
114,2.14145
115,1.200899
116,2.239289
118,2.78178
119,5.222021
121,3.233921
122,4.071893
123,1.321402
124,3.134938
125,5.223985
126,2.239987
127,1.449551
128,1.99334
129,4.474196
130,1.765827
131,3.715402
132,2.760282
133,1.233149
134,1.480844
138,2.915574
139,5.63997
141,2.016908
143,3.472558
144,6.868236
146,2.520514
149,3.094249
150,2.00759
151,3.038513
152,3.063376
154,2.228557
155,2.785873
156,3.948138
157,1.733627
158,3.67104
159,1.630056
161,5.440155
162,2.73535
163,1.91927
164,1.85283
165,3.005525
166,2.17961
168,3.068016
170,2.557161
171,3.275562
172,2.104158
173,1.738406
175,3.049356
176,3.034926
178,3.279967
179,3.973196
181,2.312595
184,3.610449
185,3.871248
186,3.384675
187,1.364043
188,2.806506
193,1.782626
194,2.847691
195,4.456725
196,3.322875
200,2.414549
202,2.170699
204,1.459543
205,2.376945
206,2.591983
207,2.707315
208,1.678665
211,2.237836
212,2.114879
213,1.88661
214,2.360564
215,1.081825
216,2.464215
217,2.393425
218,1.298175
221,2.333137
226,1.983573
228,2.751276
230,2.087094
233,1.295642
236,3.028682
238,2.007982
239,5.64209
240,1.52836
241,2.459372
242,2.665899
244,4.225493
245,3.294229
248,1.89363
249,2.763797
250,3.437549
251,2.050512
253,1.538535
257,1.828808
259,2.999861
260,1.837188
263,2.675074
271,2.319579
274,1.810153
275,2.432122
276,1.34917
278,3.102961
279,3.650033
280,1.9705
284,3.43582
285,1.675204
288,1.802296
289,1.79195
294,3.507048
295,2.550378
296,2.807127
297,1.505836
299,2.254369
300,2.627377
301,2.277873
303,3.715305
304,3.561108
305,1.514058
307,3.767299
310,2.086716
312,2.388122
314,1.679652
318,2.006467
321,2.655491
322,2.399061
323,3.648325
324,1.863302
325,4.521115
326,1.324656
329,4.231589
330,2.254412
331,2.49269
332,3.995782
333,5.353482
334,1.794451
336,2.178558
341,3.154945
342,6.346846
343,2.170291
344,1.825149
345,4.707935
346,2.40862
347,2.725432
348,1.429635
349,2.388335
350,1.922957
351,2.020832
352,2.51159
353,3.833338
354,5.080378
357,4.090722
358,3.445211
360,2.307461
361,2.882366
362,2.171695
370,3.321924
371,1.952205
373,2.884123
375,3.804334
378,1.414471
380,2.898394
381,3.54445
383,1.109858
384,2.676102
385,2.450815
386,2.56093
389,1.697887
398,2.806172
404,2.07379
405,2.976733
411,2.301852
412,2.862252
413,1.973944
414,2.717466
415,2.592138
416,2.541599
418,1.992675
421,1.730179
422,4.271148
423,3.674259
424,2.62027
426,2.263341
429,6.034003
430,2.289791
431,5.923968
432,3.093196
433,1.714612
434,1.429962
436,2.745757
438,1.939064
440,1.964463
442,2.014587
447,3.154414
449,1.55084
450,2.657774
451,2.203442
452,2.642831
453,2.934967
455,1.641091
457,4.525783
458,3.031544
459,1.660148
460,2.903565
461,2.90386
464,1.773511
466,2.451199
467,2.328907
470,2.270439
472,6.828908
474,2.536989
478,2.594611
480,3.407121
481,3.141543
482,2.246222
486,3.993928
487,4.594738
488,2.64705
489,3.817327
490,2.308936
491,2.003876
493,3.944037
494,3.765719
495,3.504766
496,3.450587
499,2.913941
500,6.219979
502,2.897031
503,4.377596
504,3.206397
505,2.58737
513,3.658759
514,2.380307
515,2.389658
516,2.531954
519,1.773902
521,2.396776
523,2.753089
525,4.647358
526,4.170887
529,2.103022
530,4.657125
531,2.467334
535,3.395905
536,2.515549
537,1.643824
540,5.08522
541,4.980232
542,1.23645
543,2.592029
546,3.767688
549,3.364715
557,1.324433
558,3.159607
559,2.321547
561,3.233086
565,2.388384
566,1.902297
567,2.494195
568,3.6006
572,2.692576
574,2.252947
576,1.728733
577,2.649905
579,2.172436
582,2.229059
583,3.162524
586,4.008019
587,2.362031
588,1.584621
589,1.617745
590,2.417836
591,1.752329
592,1.930011
593,3.879746
594,1.827418
595,2.686053
596,2.135554
599,2.52875
600,2.145405
601,2.599381
604,2.237854
605,1.905313
607,3.128047
610,2.01082
611,2.234663
614,1.375981
615,2.926611
617,1.90072
618,2.135631
620,2.061666
621,2.514356
624,2.667132
626,1.360753
630,2.229473
631,2.227893
633,2.319373
634,1.474535
635,2.518425
636,1.957322
637,1.914881
638,1.622041
640,1.051629
641,2.495415
642,1.775966
643,2.365459
644,2.945526
645,2.127935
646,2.691832
649,1.304415
650,1.413085
651,1.422218
652,1.816473
654,2.068489
659,1.207673
662,3.508826
663,2.730314
666,1.65656
668,2.287313
669,1.912533
670,2.482908
671,2.68503
673,1.815723
675,1.773613
679,2.579631
683,1.529014
687,2.653087
688,2.746203
692,1.030111
693,4.458336
701,1.676422
702,1.243003
710,1.705274
713,0.694
714,2.00147
716,1.302987
717,1.812634
718,0.729508
719,2.280714
720,1.632432
721,4.545789
722,4.090684
723,1.51529
724,2.070866
726,2.666421
727,3.093287
728,1.937298
730,2.150167
731,1.329961
732,2.114336
733,1.597324
734,1.28672
737,1.435524
738,1.592322
739,1.884851
740,1.295752
741,2.284002
742,2.447522
743,1.783753
745,1.899981
747,3.17074
748,1.331375
749,3.644886
752,0.834109
753,1.976239
755,1.431625
756,0.813394
758,1.480244
759,1.259528
762,2.551214
763,1.868394
764,1.904535
765,1.563704
766,2.986356
767,2.166077
768,1.902869
770,0.2301
771,1.869825
772,3.721384
773,1.49549
774,3.327312
775,1.998982
776,1.908639
777,1.485061
778,2.466405
780,1.974438
781,1.874438
783,1.145306
785,2.354562
786,2.603835
787,2.053499
788,2.065346
791,1.426988
793,2.564928
796,1.874044
799,2.772527
801,2.448173
803,2.761221
804,2.867031
805,2.08115
806,2.453452
808,2.515021
809,2.782307
810,2.356268
813,6.004624
814,1.864707
816,2.597717
817,2.0086
818,2.604104
821,2.240024
823,2.893601
824,2.465917
825,1.560001
830,1.817532
831,2.015488
832,2.171777
833,1.820645
834,1.65132
835,2.243559
837,1.168871
838,1.75423
839,1.338549
840,2.606949
841,0.815626
844,3.322417
845,2.107475
848,1.946107
854,2.603705
855,0.981477
863,0.310592
864,2.530201
865,1.515289
867,2.208401
868,2.500565
869,1.796703
870,2.145078
873,2.144061
876,3.114197
877,1.929008
879,2.256984
882,1.933875
887,1.68187
890,1.460202
893,1.825307
894,2.225436
896,2.411828
897,1.9249
898,2.134348
899,2.344948
901,0.682465
902,2.219562
903,2.4217
904,1.383057
908,2.347607
911,1.098574
913,2.559315
914,0.518289
915,1.448464
916,1.625297
917,1.735123
919,2.357722
920,2.435147
921,1.723629
922,2.292961
923,0.873189
926,1.481358
927,1.096074
928,1.420925
929,0.927411
930,1.474748
932,1.931318
934,2.429423
935,1.536218
937,2.238705
939,2.009162
940,2.086371
941,2.768922
942,2.878934
943,2.47156
946,3.095213
947,2.217257
948,2.313422
950,2.125947
953,2.295605
955,1.997682
956,1.357415
957,1.726887
958,1.455517
959,1.67252
961,1.731293
964,1.546571
965,1.825818
966,1.508949
968,1.447929
970,1.888024
973,2.953724
974,1.521123
976,1.070061
977,1.817262
979,1.436254
980,1.893269
981,1.777452
984,2.104453
985,1.900982
986,2.183777
988,7.306578
989,2.806572
990,1.54974
991,1.605445
994,6.251588
995,5.934379
996,1.697888
997,1.493261
1004,2.029938
1005,4.404727
1007,1.771449
1009,6.16544
1011,3.531159
1013,1.939749
1014,1.308832
1015,3.367536
1016,3.513204
1017,6.130684
1020,4.850715
1023,1.62625
1024,1.752721
1025,2.2439
1026,2.990523
1027,1.577877
1029,1.83071
1031,1.785315
1033,1.707573
1034,1.712632
1035,1.623982
1038,1.216448
1039,1.909348
1040,1.501337
1041,2.838163
1043,2.58621
1044,1.570986
1045,2.360463
1047,2.665651
1049,1.944197
1052,1.184306
1053,1.230523
1055,1.559942
1056,2.250869
1059,1.619156
1063,2.418886
1065,1.381904
1067,1.405707
1068,1.898157
1069,2.637819
1070,2.701378
1071,1.12601
1072,1.535459
1073,1.921219
1079,1.93414
1081,1.867195
1082,1.620794
1084,2.32428
1086,2.154782
1087,1.741069
1089,1.267098
1098,0.867565
1102,1.474667
1105,1.568244
1108,1.619928
1112,1.977893
1114,1.445464
1116,1.811079
1117,1.130897
1118,0.300776
1119,1.826511
1120,0.472425
1124,1.466886
1125,1.765647
1126,1.89664
1132,2.017859
1133,2.08072
1134,2.103995
1137,2.101938
1138,1.267508
1142,1.497904
1143,2.360835
1144,2.007656
1148,1.642483
1149,1.686338
1151,1.150946
1152,1.346402
1155,2.391817
1156,0.814614
1158,1.660053
1159,2.073139
1162,1.880189
1163,2.215784
1166,1.803696
1168,2.297053
1169,2.596757
1170,2.772299
1173,3.166651
1178,2.259834
1179,2.076001
1180,2.312001
1182,2.116486
1183,2.081428
1184,1.288004
1185,1.92318
1187,2.059435
1188,1.469411
1189,2.428756
1190,1.922558
1192,1.67385
1194,1.80671
1195,1.2843
1196,2.251254
1197,1.591281
1199,2.223078
1210,1.394382
1211,1.633819
1215,1.903619
1219,2.369238
1220,1.997621
1222,1.890272
1225,1.975249
1226,2.641748
1233,1.352515
1234,1.627006
1235,1.403064
1236,1.371773
1237,0.658701
1239,1.598525
1241,2.730602
1242,1.723205
1243,2.071763
1245,2.723037
1246,2.942644
1247,0.85848
1248,0.95384
1251,2.887361
1253,2.958645
1255,2.589373
1256,1.436058
1257,1.941417
1258,3.383559
1259,1.507818
1261,1.729547
1262,1.859755
1263,3.130505
1265,2.857554
1266,2.537124
1267,2.302919
1270,2.419391
1271,2.121455
1272,2.618534
1273,2.187595
1274,2.954422
1275,1.802008
1288,2.155452
1290,3.658253
1291,2.503029
1292,2.39536
1293,1.039113
1295,1.538083
1296,2.763505
1297,2.626807
1298,3.515675
1299,1.441603
1302,2.005155
1303,3.339397
1305,2.54069
1308,3.017704
1311,3.844811
1312,2.603633
1313,2.618541
1314,2.387574
1315,3.254541
1316,1.883208
1319,2.262156
1323,2.606996
1324,1.945973
1325,2.120977
1327,2.665255
1328,2.975335
1332,2.104465
1336,2.595496
1337,1.108959
1339,2.060667
1340,2.486165
1341,2.170171
1344,3.054379
1349,2.158787
1352,3.311604
1353,1.959067
1354,1.616687
1355,2.642492
1356,1.282559
1357,1.259109
1358,1.496917
1360,1.679166
1362,2.92689
1373,2.251984
1375,1.646814
1384,1.615181
1386,2.004658
1389,0.937683
1390,3.320358
1391,2.211126
1392,1.993763
1395,3.976498
1396,1.542527
1399,1.804908
1404,2.099706
1405,2.185471
1406,2.639096
1408,3.811765
1411,2.82671
1413,1.841646
1416,1.753205
1418,3.206248
1419,3.422439
1424,2.295193
1428,1.569699
1429,1.254599
1430,2.353932
1433,1.836141
1434,1.247827
1438,0.936734
1439,2.637699
1440,1.373804
1443,0.808079
1444,1.429094
1445,3.080928
1446,2.108377
1447,2.122011
1449,0.538514
1451,1.207427
1454,1.909307
1456,1.805828
1458,2.786928
1460,2.301326
1462,2.009004
1468,2.337498
1469,2.271456
1472,1.47464
1476,2.317661
1479,1.674991
1483,1.816798
1484,2.671857
1485,2.265519
1486,2.519378
1487,2.494204
1488,4.09501
1490,2.116421
1492,2.747291
1495,3.256109
1496,2.160915
1497,3.870656
1498,0.662013
1499,1.68309
1500,4.358648
1501,1.742936
1503,2.34196
1504,2.15839
1505,1.457591
1506,1.123225
1507,4.0429
1508,1.205066
1512,1.438432
1513,1.689577
1516,1.130522
1518,2.024186
1519,2.071144
1520,1.815531
1521,2.717684
1522,2.311421
1525,1.388416
1528,0.97906
1529,3.060455
1531,2.429406
1532,3.083001
1537,2.582587
1539,2.571489
1542,1.805887
1543,2.369086
1545,1.824478
1546,2.690177
1547,3.548961
1548,2.027142
1550,2.624595
1551,1.946149
1553,1.714784
1554,2.789378
1555,3.369609
1556,3.161092
1558,2.866714
1559,2.141104
1560,1.865565
1562,1.874601
1568,3.043999
1571,2.719406
1572,3.118271
1575,2.004579
1577,3.470447
1581,5.790708
1585,1.728287
1586,2.122225
1590,2.853595
1593,2.396849
1596,2.697748
1598,1.99433
1599,2.896856
1600,2.428741
1601,2.356005
1602,1.783578
1603,1.512049
1604,3.15781
1605,1.894634
1607,2.553
1608,2.347396
1612,2.818663
1618,4.867317
1620,2.918059
1621,2.492224
1622,3.359409
1624,2.543637
1625,2.542148
1626,2.586188
1627,3.637013
1628,2.720805
1632,5.077796
1640,3.083514
1641,3.280634
1644,4.963433
1649,3.203687
1652,1.036342
1655,1.91146
1662,0.989924
1671,2.435916
1672,2.032669
1679,1.095547
1681,1.717126
1686,2.608037
1687,2.223459
1692,1.979012
1693,2.21408
1695,1.606755
1696,2.542257
1697,3.044505
1701,2.881848
1703,1.935258
1705,2.084414
1706,1.795039
1707,1.553045
1708,2.09741
1721,1.815508
1722,3.305779
1723,2.042729
1726,1.198791
1729,1.307961
1731,3.019441
1746,2.754884
1749,2.430229
1751,3.859866
1752,1.162974
1753,2.698632
1758,2.269197
1759,2.438342
1760,1.494002
1762,1.959539
1766,1.09154
1769,1.842293
1772,1.652848
1777,1.46828
1778,1.342612
1779,1.491287
1781,1.736482
1787,2.217623
1788,1.169622
1789,0.929812
1791,1.779544
1793,1.520651
1796,2.601751
1797,2.191099
1801,2.38112
1802,2.741461
1803,2.325661
1804,1.198845
1806,4.05798
1807,1.923101
1808,1.384203
1810,1.802917
1812,2.736582
1813,2.579412
1815,4.268837
1816,2.02686
1817,1.849598
1819,2.366725
1820,2.51164
1821,1.605829
1822,1.915173
1825,1.65537
1826,2.200636
1827,1.652586
1828,1.565478
1831,3.142274
1832,3.743637
1838,2.059349
1839,3.714102
1841,2.930178
1843,2.252192
1844,3.241032
1846,1.675858
1850,2.793048
1851,2.444005
1852,2.584336
1858,3.213573
1859,2.215424
1863,3.526222
1864,1.398859
1865,2.501943
1868,0.993675
1869,2.590776
1870,1.970558
1871,2.304492
1872,2.827778
1873,1.594552
1874,1.68353
1875,3.272324
1876,2.358146
1877,2.108414
1879,1.58458
1880,1.772429
1881,2.65155
1882,1.420167
1884,1.538763
1887,3.036038
1888,2.94487
1889,0.267327
1890,1.67865
1891,0.95338
1892,0.0
1893,0.377944
1894,2.202621
1895,2.31624
1897,1.948561
1899,1.799659
1900,2.350595
1904,3.464049
1906,1.8036
1907,1.883515
1909,5.451458
1910,2.434717
1911,3.731329
1913,1.945393
1915,6.020883
1919,2.480249
1920,3.042255
1921,1.486428
1925,3.467978
1926,2.561468
1927,2.340536
1937,0.92196
1939,2.604686
1945,1.337278
1954,1.200215
1959,1.342452
1960,2.833278
1962,1.839281
1964,1.256024
1965,2.189313
1967,1.682036
1972,1.646847
1974,0.967033
1975,1.818469
1976,2.506472
1977,1.875423
1978,2.006437
1979,2.083141
1980,2.642388
1981,1.937832
1982,2.807481
1983,1.927717
1986,1.90812
1987,2.127155
1988,2.115954
1989,1.458088
1990,2.303452
1991,4.096208
1994,1.375294
1997,1.783233
1999,0.234599
2000,2.141154
2001,2.348113
2002,2.923531
2003,2.572719
2004,0.897388
2007,0.860423
2008,1.359
2013,1.903259
2016,1.874045
2017,2.489985
2018,1.624586
2019,2.285257
2020,2.009932
2027,2.485774
2029,1.658458
2032,1.580122
2034,2.694816
2037,1.873728
2038,2.033919
2039,2.645038
2043,1.242568
2047,1.594265
2048,2.194823
2049,1.513624
2061,1.73336
2062,1.402825
2063,2.349293
2064,2.612347
2066,1.476941
2068,1.69304
2069,2.309228
2071,1.405583
2072,0.943775
2076,1.3706
2077,3.649118
2079,1.86597
2080,1.492224
2081,1.128087
2082,1.437396
2083,2.838816
2084,2.022925
2086,2.305353
2087,1.26437
2088,1.339967
2095,1.327599
2096,2.446406
2099,4.086712
2100,1.729839
2101,1.806965
2102,1.907872
2103,2.651179
2105,1.228174
2106,1.412501
2109,1.593215
2110,2.039549
2111,2.477411
2113,1.147821
2114,1.979859
2115,2.747032
2117,1.379321
2118,2.081328
2119,2.117947
2120,1.763237
2121,2.279012
2122,1.192548
2123,2.792373
2124,2.280123
2125,2.232372
2126,2.762594
2127,2.105734
2128,3.238811
2129,1.808041
2130,1.802773
2131,2.355504
2133,3.074741
2134,2.256388
2135,1.913493
2136,3.529158
2137,3.240736
2138,2.628889
2139,2.576323
2141,2.321128
2143,2.773162
2144,2.121176
2145,2.616788
2146,2.10863
2147,1.803644
2148,2.833515
2149,1.987497
2151,1.846821
2153,1.63673
2154,2.499816
2156,1.476562
2158,1.804403
2160,4.211085
2162,2.558266
2167,2.484818
2169,2.104674
2170,2.224212
2172,3.693214
2173,3.268133
2174,1.977912
2175,3.903043
2177,2.591683
2178,2.442292
2179,2.18228
2184,6.506387
2185,1.831426
2186,2.332197
2193,2.957326
2194,3.242562
2196,1.474224
2199,3.399601
2200,2.567235
2202,3.045621
2203,2.590606
2204,3.776582
2205,2.447655
2206,3.898259
2207,2.960332
2210,2.502968
2212,4.046818
2213,1.173013
2215,2.233691
2216,2.100207
2217,4.304315
2220,1.840319
2221,2.494651
2222,2.092684
2223,1.819702
2226,1.872298
2228,1.58985
2230,2.333838
2232,2.156825
2233,2.443173
2234,1.299863
2236,1.423019
2240,2.209364
2241,3.803142
2247,3.399204
2252,1.717272
2258,5.47746
2264,2.822821
2265,3.643735
2269,2.012014
2270,3.325587
2274,3.093534
2280,2.56886
2281,2.669114
2282,2.622845
2283,2.744701
2285,1.678752
2286,1.674863
2288,2.846728
2294,1.570357
2296,2.879862
2299,1.556988
2302,2.985935
2303,2.304094
2305,2.085453
2308,1.842624
2309,1.916375
2311,4.573756
2312,1.862711
2314,2.040056
2315,1.44249
2316,1.350006
2318,2.661478
2319,0.0
2320,2.982619
2321,2.204866
2322,2.036014
2328,0.219092
2338,1.060893
2339,2.2809
2340,1.289779
2343,2.517057
2344,1.066615
2346,0.549388
2347,1.910634
2348,2.125168
2349,2.33803
2350,1.578332
2354,2.43949
2355,1.714476
2356,1.516521
2358,2.273567
2359,1.13616
2360,2.050745
2361,2.317514
2362,1.97043
2363,2.262285
2364,2.091949
2365,3.444407
2366,2.640334
2367,3.091528
2368,3.840199
2370,1.096449
2371,1.655977
2372,2.761088
2375,1.884151
2376,1.648465
2381,2.969882
2382,1.392949
2387,3.139694
2389,1.291688
2390,1.378793
2391,4.353474
2392,3.071523
2407,2.598479
2413,2.72166
2415,3.181583
2419,2.5045
2422,2.023808
2423,1.579662
2426,2.410532
2430,2.373807
2432,1.628979
2433,2.086786
2436,1.326762
2437,1.395713
2438,1.912187
2439,1.537861
2441,2.042347
2444,2.08075
2445,1.32394
2446,1.717613
2447,1.560164
2448,0.924191
2449,2.403451
2451,2.017694
2452,1.193354
2453,1.678926
2454,1.524433
2456,2.860498
2458,1.789476
2459,2.401172
2460,2.695131
2461,1.346728
2462,3.206063
2463,1.415811
2464,2.676981
2466,1.143936
2467,1.397683
2468,1.843722
2471,2.174308
2472,1.209559
2473,1.54147
2474,1.752184
2476,1.362654
2478,1.578736
2479,1.031822
2480,1.772031
2481,3.523905
2482,0.713735
2484,1.485895
2486,2.158095
2487,2.047645
2488,2.450747
2489,1.877552
2490,1.95464
2492,2.66757
2495,2.216867
2499,1.997416
2500,1.699568
2502,1.810434
2503,1.904755
2506,0.86132
2507,2.034601
2508,1.300987
2511,1.677172
2513,1.997406
2516,1.927915
2517,2.270481
2518,2.20313
2519,1.422572
2520,2.826409
2521,1.718843
2522,1.074321
2524,2.483515
2525,2.312359
2528,2.336196
2529,1.20099
2530,2.126143
2532,1.91488
2533,1.616595
2535,2.028696
2536,1.542185
2537,2.114208
2538,2.482193
2539,2.847855
2540,1.886888
