id,log_recommends
2,1.790901
3,1.860419
4,3.505469
5,3.020567
7,2.25019
8,5.613358
9,2.726992
10,2.805167
11,4.718255
13,1.999312
14,10.859019
17,6.87333
19,1.592974
20,4.244595
22,1.450641
23,2.40076
25,1.840912
26,1.667924
27,2.132099
28,2.448222
29,3.97656
30,3.909408
32,3.063262
33,1.537602
34,5.508201
35,2.697334
36,2.615259
37,1.999136
38,1.434721
39,3.148401
40,1.404545
42,3.898031
43,3.092546
45,1.04709
48,1.412855
50,6.233458
51,10.859019
52,1.689749
54,1.222166
55,2.388996
57,1.180024
58,0.961042
59,5.974383
60,2.997702
61,1.574171
63,6.943192
64,1.13465
65,1.652721
66,2.063611
70,2.26421
71,3.024995
72,4.370487
73,1.233809
74,1.223958
76,0.836894
78,1.654709
79,3.507963
80,2.078691
81,2.114795
82,1.104698
83,1.814313
84,3.931195
85,3.588881
87,2.011766
88,1.841249
92,2.35485
93,1.496986
94,1.466411
95,1.242116
96,1.274052
97,1.501651
98,2.048048
100,0.946512
106,1.302045
107,0.784266
108,1.065572
109,1.359264
110,1.265477
111,1.668257
113,1.129519
114,0.890218
115,0.951371
116,1.330013
118,2.391201
119,7.917601
121,3.072788
122,2.620766
123,1.462497
124,1.574716
125,5.066554
126,1.362352
127,1.361379
128,1.503546
129,4.390716
130,1.337279
131,3.384298
132,2.033051
133,1.123192
134,1.245961
138,2.081353
139,5.956355
141,1.226835
143,2.030618
144,7.351391
146,1.428617
149,1.372537
150,1.347679
151,2.787134
152,2.851965
154,1.72617
155,1.958583
156,3.357416
157,1.062702
158,0.870508
159,1.212972
161,4.996867
162,1.908298
163,2.022784
164,1.164855
165,2.220238
166,1.028192
168,3.08135
170,1.421183
171,2.311601
172,1.293932
173,1.32552
175,3.145965
176,4.420502
178,1.315848
179,3.183364
181,1.492452
184,2.448967
185,2.155733
186,2.505177
187,0.801997
188,3.173237
193,0.989315
194,3.020135
195,5.284235
196,2.717952
200,1.619503
202,1.720435
204,0.743907
205,2.039935
206,2.642605
207,2.674893
208,1.540073
211,1.394775
212,1.741615
213,1.785637
214,4.809402
215,1.048563
216,2.15918
217,2.129443
218,0.810782
221,2.074096
226,1.41169
228,2.337692
230,1.182012
233,1.094013
236,3.320925
238,1.796119
239,10.541552
240,1.280669
241,3.172882
242,2.073679
244,3.229621
245,1.546925
248,1.248461
249,1.438689
250,1.345489
251,1.670003
253,1.514472
257,1.618111
259,1.682277
260,1.09326
263,1.537458
271,0.978883
274,0.969471
275,1.240655
276,1.298412
278,1.108065
279,6.274493
280,10.859019
284,3.977017
285,1.735102
288,2.382292
289,2.287519
294,2.709666
295,1.854846
296,2.06724
297,1.07911
299,2.419216
300,2.131289
301,2.734706
303,6.258764
304,7.05366
305,1.431318
307,3.481602
310,1.763685
312,2.994468
314,1.407499
318,2.164723
321,1.72772
322,1.102573
323,3.389547
324,1.394125
325,3.585869
326,0.936368
329,4.15307
330,2.058323
331,1.956225
332,3.746062
333,3.843751
334,2.474467
336,1.28988
341,3.387046
342,10.580276
343,1.696954
344,1.623874
345,5.543434
346,1.902555
347,2.440758
348,0.871607
349,1.832242
350,1.489387
351,1.778139
352,2.759289
353,2.371528
354,5.868592
357,2.798728
358,2.633745
360,1.479521
361,2.731465
362,1.677046
370,3.115806
371,1.033236
373,2.33228
375,3.751924
378,0.831234
380,1.874322
381,2.363649
383,1.237062
384,1.939376
385,1.446011
386,1.847159
389,1.373383
398,2.853895
404,1.470949
405,2.710472
411,2.792577
412,2.667067
413,1.102293
414,2.985223
415,3.125523
416,2.385678
418,1.408492
421,1.598095
422,2.417016
423,4.696549
424,3.186539
426,1.566695
429,4.75584
430,1.261433
431,3.929858
432,2.832562
433,0.98672
434,1.372898
436,3.128058
438,1.140283
440,2.021681
442,2.065711
447,4.21637
449,2.079794
450,3.113543
451,1.654402
452,2.051456
453,3.01522
455,1.655118
457,3.461748
458,3.821397
459,2.284382
460,2.85976
461,2.652668
464,1.371587
466,1.994562
467,1.830511
470,1.177492
472,4.526556
474,1.490917
478,1.908583
480,3.076261
481,2.554486
482,1.984752
486,2.928684
487,3.918958
488,2.277023
489,3.229399
490,2.556968
491,1.812053
493,2.507834
494,4.4548
495,2.216978
496,2.701787
499,3.294347
500,6.931973
502,2.723444
503,3.112175
504,2.486706
505,1.723532
513,2.931656
514,3.137248
515,2.084241
516,1.402116
519,1.05185
521,1.939629
523,3.14987
525,3.768828
526,3.501385
529,1.126076
530,5.341496
531,2.567711
535,2.334238
536,1.844286
537,0.738119
540,4.969217
541,5.958459
542,1.274427
543,2.879278
546,2.915445
549,3.641469
557,1.354726
558,2.663574
559,2.77611
561,4.155518
565,2.22125
566,1.872094
567,2.605282
568,3.792361
572,2.408263
574,1.886749
576,1.711855
577,1.455669
579,1.976233
582,1.95672
583,1.871737
586,7.737057
587,1.868712
588,1.634295
589,1.684119
590,2.77106
591,1.898912
592,1.448975
593,3.241123
594,1.106001
595,1.638235
596,1.551908
599,2.064137
600,1.807021
601,2.707493
604,1.811433
605,1.670313
607,2.850999
610,1.360809
611,2.23576
614,2.016015
615,2.049368
617,1.057579
618,4.25132
620,1.373243
621,1.494584
624,2.103612
626,1.6817
630,1.399302
631,1.51652
633,1.52506
634,1.068194
635,1.47212
636,1.387505
637,1.644891
638,1.049214
640,1.179995
641,1.589545
642,1.277668
643,1.97701
644,1.76268
645,2.464668
646,2.878123
649,0.883865
650,1.043101
651,1.737031
652,1.079018
654,1.464558
659,1.121786
662,4.038774
663,1.279689
666,0.825321
668,1.264851
669,1.088137
670,1.82832
671,1.143238
673,1.960608
675,1.445282
679,2.827429
683,1.382112
687,1.847872
688,2.529847
692,1.029386
693,3.043449
701,0.976597
702,1.385732
710,1.091148
713,0.770281
714,2.074105
716,0.927604
717,0.980391
718,0.847177
719,1.101918
720,0.968366
721,4.59736
