id,log_recommends
2,1.7979
3,2.644859
4,3.036731
5,3.454946
7,2.552339
8,4.994601
9,3.169868
10,3.685787
11,4.796464
13,2.193815
14,10.859019
17,6.816043
19,1.860693
20,3.304523
22,2.736531
23,1.973474
25,2.314081
26,1.548702
27,1.721076
28,2.268233
29,8.092094
30,4.312407
32,4.954193
33,1.943399
34,4.795135
35,4.187189
36,4.106985
37,3.016918
38,1.724526
39,3.112678
40,1.494926
42,4.521581
43,2.413957
45,1.475026
48,2.061404
50,5.379539
51,7.121664
52,2.145709
54,3.17219
55,2.118396
57,1.597297
58,2.620188
59,5.27964
60,1.855636
61,2.02984
63,5.440441
64,2.626666
65,0.731942
66,2.386217
70,2.236467
71,4.348506
72,3.845949
73,1.202305
74,2.020543
76,0.998923
78,2.016087
79,2.78276
80,2.519268
81,2.633505
82,2.291439
83,1.702232
84,0.0
85,3.073003
87,1.386477
88,2.245399
92,1.41716
93,0.793211
94,1.994883
95,1.468857
96,1.522242
97,1.512851
98,1.812952
100,1.565181
106,1.53223
107,1.606129
108,1.786754
109,1.028197
110,1.648102
111,2.59163
113,1.494708
114,1.381035
115,1.337866
116,1.332629
118,2.152256
119,6.486202
121,3.339859
122,4.192586
123,1.280952
124,2.142607
125,6.088805
126,1.524054
127,1.292543
128,2.147794
129,3.348439
130,1.395652
131,4.875679
132,2.18832
133,1.542702
134,1.615514
138,2.457486
139,6.282912
141,2.046879
143,3.000315
144,6.40517
146,2.502514
149,2.55474
150,1.914878
151,3.336372
152,2.962413
154,1.804465
155,3.462877
156,4.362219
157,1.729584
158,3.00608
159,1.640361
161,5.580806
162,3.312502
163,1.520547
164,1.201293
165,2.823736
166,1.644634
168,2.240534
170,2.480452
171,2.894161
172,1.514678
173,1.77319
175,2.081831
176,2.888817
178,2.939534
179,3.858198
181,2.074764
184,2.720361
185,3.570856
186,3.57681
187,1.579161
188,2.552832
193,1.515085
194,2.46506
195,5.100801
196,2.181139
200,2.217813
202,1.657889
204,1.148652
205,2.957992
206,2.693783
207,2.285728
208,1.451529
211,1.498477
212,2.406643
213,1.708128
214,3.438178
215,1.442281
216,2.221253
217,2.026781
218,0.92992
221,2.044261
226,1.503962
228,2.379822
230,1.963609
233,1.613994
236,2.784711
238,2.141072
239,8.227416
240,1.549907
241,2.679542
242,2.619644
244,4.10922
245,2.728411
248,1.698923
249,2.214705
250,3.153258
251,2.060637
253,1.609339
257,2.075543
259,2.457466
260,1.688894
263,2.579972
271,1.697245
274,1.619326
275,1.747915
276,1.260466
278,2.481847
279,5.142519
280,1.661811
284,3.163622
285,1.827799
288,1.682172
289,1.957286
294,3.014115
295,1.762578
296,1.427406
297,1.653888
299,1.869594
300,2.393666
301,2.359438
303,5.223159
304,5.086577
305,1.885977
307,3.400107
310,1.775106
312,2.686557
314,1.744155
318,2.205334
321,2.076233
322,1.501534
323,3.299138
324,2.230916
325,5.07872
326,1.468919
329,3.334088
330,1.761868
331,1.900799
332,4.83731
333,5.992226
334,1.86037
336,1.940866
341,2.966747
342,10.859019
343,2.245159
344,1.735533
345,4.661786
346,2.270433
347,2.470528
348,1.217352
349,2.747741
350,1.733062
351,2.221132
352,1.967483
353,3.711087
354,5.271507
357,3.220167
358,3.436055
360,1.818058
361,2.322672
362,2.012712
370,2.722919
371,1.673552
373,2.542457
375,3.205089
378,1.343624
380,2.420785
381,2.833442
383,1.591462
384,3.256177
385,2.428847
386,2.426389
389,1.681792
398,3.861054
404,1.111372
405,1.944434
411,2.682544
412,2.026808
413,1.388554
414,2.987086
415,2.525387
416,2.683516
418,1.629493
421,1.456551
422,4.677615
423,4.720434
424,2.509533
426,2.385035
429,6.51404
430,2.161893
431,6.162486
432,2.932715
433,2.051662
434,1.743166
436,3.218933
438,1.397067
440,1.600666
442,1.710055
447,2.704633
449,1.596821
450,3.766337
451,1.787273
452,2.26577
453,2.151992
455,1.608013
457,4.945915
458,3.325765
