id,log_recommends
2,2.180613
3,2.618196
4,2.943839
5,3.587719
7,2.454917
8,5.293238
9,3.206865
10,3.658195
11,4.770545
13,2.15706
14,10.859019
17,6.932147
19,1.811588
20,3.324006
22,2.637165
23,2.00098
25,2.227685
26,1.578636
27,1.93659
28,2.29881
29,7.569747
30,4.006638
32,4.707497
33,1.862199
34,4.588785
35,4.08133
36,3.938839
37,2.894551
38,1.693282
39,2.805198
40,1.461732
42,4.517288
43,2.467761
45,1.387934
48,1.961311
50,5.355243
51,7.880634
52,2.039095
54,3.042763
55,2.232981
57,1.529649
58,2.518054
59,5.207445
60,1.941984
61,1.97404
63,5.731558
64,2.516765
65,0.990578
66,2.404389
70,2.354079
71,4.220006
72,4.074929
73,1.244018
74,1.946747
76,1.051644
78,1.996958
79,2.973759
80,2.507319
81,2.571887
82,2.25566
83,1.600137
84,0.695669
85,3.047706
87,1.46432
88,2.174181
92,1.682124
93,0.99658
94,1.93265
95,1.556838
96,1.448305
97,1.493217
98,1.853441
100,1.502438
106,1.467035
107,1.553949
108,1.734113
109,1.100592
110,1.565945
111,2.426921
113,1.422235
114,1.3273
115,1.291775
116,1.266274
118,2.265822
119,6.48354
121,3.278899
122,4.156379
123,1.271591
124,2.066047
125,6.131922
126,1.462276
127,1.226814
128,2.139351
129,3.435992
130,1.324828
131,5.062172
132,2.150495
133,1.494211
134,1.581291
138,2.435029
139,6.525555
141,1.997389
143,3.016601
144,6.416862
146,2.387581
149,2.428889
150,1.923095
151,3.308681
152,2.991403
154,1.788711
155,3.441526
156,4.447445
157,1.740083
158,2.861709
159,1.92116
161,5.33415
162,3.070371
163,1.584061
164,1.281511
165,2.906692
166,1.737814
168,2.314819
170,2.301962
171,2.878258
172,1.542922
173,1.818837
175,2.131606
176,2.953795
178,2.825011
179,3.715043
181,2.029653
184,2.636192
185,3.480427
186,3.478127
187,1.622965
188,2.598163
193,1.472512
194,2.482983
195,5.1451
196,2.352846
200,2.127632
202,1.592479
204,1.474017
205,2.920125
206,2.745859
207,2.476582
208,1.419679
211,1.429995
212,2.409737
213,1.910934
214,4.203695
215,1.388323
216,2.184856
217,1.911962
218,1.0119
221,1.948395
226,1.50638
228,2.479338
230,1.858789
233,1.564277
236,3.107284
238,2.144132
239,8.777198
240,1.519274
241,2.852775
242,2.552875
244,3.968596
