id,log_recommends
2,1.925313
3,2.601275
4,2.999216
5,3.580356
7,2.271664
8,4.690159
9,3.423386
10,4.163569
11,4.950329
13,2.314997
14,10.859019
17,6.598567
19,1.906076
20,2.827044
22,2.915543
23,1.975429
25,2.140092
26,1.779382
27,1.588781
28,2.17895
29,7.91243
30,4.882102
32,4.769337
33,2.018082
34,5.044065
35,4.136891
36,4.043372
37,2.902929
38,2.035738
39,3.263092
40,1.613281
42,4.166459
43,2.668282
45,1.451751
48,2.138087
50,5.632065
51,6.051656
52,2.068638
54,3.056489
55,2.375072
57,1.673543
58,2.676312
59,5.047009
60,1.698445
61,1.899773
63,4.887114
64,2.534556
65,0.7898
66,2.477417
70,2.215847
71,4.344607
72,3.854875
73,1.509964
74,2.159241
76,1.165002
78,2.056073
79,2.569687
80,2.564238
81,2.552436
82,1.892017
83,1.825841
84,0.0
85,2.546645
87,1.793175
88,2.448335
92,1.660756
93,1.516773
94,1.99126
95,1.600325
96,1.490433
97,1.386516
98,2.114421
100,1.442442
106,1.551806
107,1.610572
108,1.622697
109,1.08451
110,1.727529
111,2.783185
113,1.497772
114,1.445182
115,1.304478
116,1.366505
118,2.151511
119,6.122444
121,3.368511
122,3.823149
123,1.098912
124,2.287805
125,5.621233
126,1.53012
127,1.34245
128,1.7796
129,3.310789
130,1.36233
131,4.799522
132,2.108784
133,1.651442
134,1.748636
138,2.474081
139,6.217167
141,2.037974
143,2.899857
144,5.993595
146,2.408346
149,2.518307
150,2.013623
151,3.395607
152,3.088114
154,2.13266
155,3.222986
156,4.451159
157,1.682562
158,3.094411
159,1.760492
161,6.035535
162,2.955503
163,1.52582
164,1.298549
165,2.489073
166,1.176553
168,1.893966
170,2.515311
171,2.542975
172,1.486767
173,1.781617
175,1.810357
176,3.407412
178,2.946998
179,3.922619
181,1.699837
184,2.679974
185,3.382899
186,3.453935
187,1.525339
188,2.685452
193,1.612137
194,2.749187
195,4.910176
196,2.303685
200,2.381915
202,1.698019
204,0.825249
205,2.69559
206,2.761608
207,2.16945
208,1.564804
211,1.63552
212,2.205138
213,1.666554
214,2.549331
215,1.184397
216,2.382132
217,2.416989
218,0.981792
221,2.295479
226,1.353239
228,2.647272
230,2.021574
233,1.612251
236,2.733317
238,2.124255
239,6.996206
240,1.795121
241,2.662344
242,2.534359
244,3.777794
245,2.951787
248,1.955927
249,2.244686
250,3.091858
251,1.915611
253,1.654911
257,2.23193
259,2.453614
260,1.550188
263,2.456244
271,1.776263
274,1.438861
275,1.624812
276,1.189542
278,2.231329
279,5.558701
280,1.584465
284,3.74664
285,2.033169
288,1.743161
289,1.646374
294,3.708301
295,1.985136
296,1.762821
297,1.965409
299,2.305693
300,2.756206
301,2.518799
303,5.367939
304,5.325477
305,1.950543
307,3.254885
310,1.819012
312,3.111373
314,1.528877
318,2.246669
321,1.934838
322,1.71562
323,3.46741
324,2.046684
325,5.260995
326,1.619532
329,3.512508
330,2.110298
331,1.77567
332,5.068055
333,5.180144
334,2.035627
336,1.887815
341,3.086083
342,10.859019
343,2.523911
344,1.875266
345,5.800667
346,2.073857
347,2.346593
348,0.980136
349,3.271646
350,1.849949
351,2.478263
352,2.616243
353,3.349155
354,4.758153
357,3.54732
358,3.482232
360,1.826587
361,2.752876
362,2.108439
370,2.671577
371,1.598928
373,2.855722
375,2.849705
378,0.991821
380,2.629856
381,3.009647
383,1.624575
384,3.179942
385,2.426005
386,1.772404
389,1.794968
398,4.18223
404,1.007541
405,2.075896
411,2.502418
412,2.039863
413,1.404322
414,2.666757
415,2.599955
416,2.905849
418,1.979084
421,1.599809
422,4.419363
423,4.775868
424,2.832448
426,2.353269
429,6.537428
430,2.115775
431,6.230273
432,2.97157
433,1.965126
434,1.737066
436,2.802992
438,1.451483
440,1.116425
442,1.494887
447,2.89915
449,1.560221
450,3.877701
451,1.918234
452,2.246781
453,2.377039
455,1.307172
457,4.612044
458,3.202302
459,2.255497
460,2.53298
461,2.62059
464,1.636588
466,2.022243
467,1.490329
470,2.220996
472,6.400801
474,1.761299
478,2.201109
480,4.015992
481,2.520637
482,2.10785
486,3.56286
487,5.086422
488,2.297615
489,3.414904
490,2.043563
491,1.207425
493,3.714669
494,4.374911
495,3.305117
496,3.369482
499,3.998196
500,7.008534
502,2.539618
503,4.890923
504,3.452887
505,2.125621
513,3.631694
514,2.1571
515,2.117949
516,2.188473
519,2.028511
521,1.699192
523,2.787286
525,4.995271
526,3.212174
529,1.629683
530,4.965281
531,2.778802
535,4.47357
536,1.872376
537,0.508124
540,4.393231
541,4.640157
542,1.85011
543,2.562459
546,3.931352
549,4.106095
557,1.737804
558,2.646468
559,1.474859
561,3.396803
565,1.803302
566,2.163946
567,2.324717
568,4.051905
572,2.912869
574,1.247576
576,2.288716
577,2.151392
579,1.929851
582,1.863729
583,0.981832
586,5.728304
587,1.814473
588,2.428916
589,1.37501
590,2.567205
591,1.722459
592,1.371121
593,3.878685
594,1.575878
595,1.926473
596,1.910602
599,1.760404
600,1.874882
601,2.889634
604,2.363229
605,2.074255
607,2.71026
610,1.768539
611,2.285411
614,2.750542
615,1.794899
617,1.330422
618,3.154262
620,1.44244
621,1.742596
624,2.51463
626,1.93126
630,1.429605
631,1.347512
633,1.438919
634,1.679989
635,1.541553
636,1.335182
637,1.689533
638,1.342934
640,1.153999
641,1.725871
642,1.65757
643,2.773379
644,2.757423
645,2.67877
646,2.604176
649,1.22208
650,1.478724
651,1.328979
652,1.545804
654,1.728247
659,1.940353
662,4.821842
663,2.174219
666,1.33031
668,2.045312
669,1.692966
670,2.227468
671,2.184639
673,2.180655
675,1.549112
679,3.43499
683,1.723413
687,2.520503
688,2.029027
