id,log_recommends
2,2.242972
3,2.014086
4,3.124298
5,2.79089
7,2.378073
8,5.377776
9,3.236001
10,3.815125
11,4.509068
13,2.103549
14,10.859019
17,6.01347
19,1.729916
20,1.93932
22,2.671898
23,1.944421
25,2.021773
26,1.710373
27,1.781496
28,2.103313
29,6.797479
30,3.875784
32,4.248999
33,1.754496
34,4.185502
35,3.877908
36,3.721143
37,2.48778
38,1.566847
39,2.611765
40,1.620337
42,3.418924
43,2.176895
45,1.474563
48,1.827948
50,4.622266
51,6.500288
52,1.547061
54,2.882768
55,2.252252
57,1.527406
58,2.568112
59,5.14218
60,2.325217
61,1.774854
63,4.949502
64,2.289711
65,1.103528
66,2.177133
70,1.979665
71,4.603819
72,2.600355
73,1.284394
74,2.067301
76,0.932337
78,1.739461
79,2.717819
80,2.148366
81,2.379838
82,2.175516
83,1.795357
84,1.933344
85,2.326246
87,1.584958
88,2.124966
92,1.547903
93,1.118678
94,1.756379
95,1.590889
96,1.336945
97,1.494759
98,2.298836
100,1.36033
106,1.453751
107,1.46196
108,1.539981
109,1.656362
110,1.547753
111,2.453564
113,1.429963
114,1.324886
115,1.303577
116,1.2825
118,2.736494
119,5.180012
121,2.741904
122,3.866978
123,1.042404
124,2.011039
125,5.224334
126,1.420099
127,1.223944
128,2.156556
129,3.406979
130,1.276003
131,4.01719
132,1.710154
133,1.36918
134,1.686637
138,2.390898
139,5.661455
141,1.757392
143,2.893091
144,5.402948
146,1.679345
149,2.205594
150,2.081568
151,3.110785
152,3.484006
154,1.783837
155,3.02595
156,4.183255
157,1.670003
158,2.529939
159,1.396824
161,5.414845
162,3.006432
163,1.642658
164,1.242014
165,2.4945
166,1.478828
168,2.994405
170,2.34268
171,2.751998
172,1.625103
173,1.459824
175,2.8873
176,2.898844
178,2.777037
179,4.294914
181,1.485702
184,2.742707
185,3.495501
186,3.320782
187,1.302493
188,2.682673
193,1.395897
194,2.574477
195,4.459304
196,2.920924
200,1.963321
202,1.607019
204,0.818223
205,2.47173
206,2.670053
207,2.962981
208,1.29875
211,1.451019
212,2.187583
213,1.813307
214,4.076488
215,0.806488
216,2.037687
217,2.135713
218,1.035928
221,1.514211
226,1.261098
228,2.367467
230,1.903795
233,1.345694
236,3.182982
238,2.014365
239,8.573139
240,1.389359
241,3.071582
242,2.154543
244,3.799099
245,2.513387
248,1.760582
249,1.915798
250,2.72354
251,1.656669
253,1.528004
257,1.835593
259,2.428973
260,1.45106
263,2.209946
271,1.454948
274,1.424258
275,1.635804
276,1.57164
278,2.593374
279,5.091118
280,1.393011
284,3.329604
285,1.642991
288,1.842528
289,1.44443
294,3.113337
295,1.628461
296,1.960796
297,1.719472
299,2.05932
300,2.193703
301,2.688824
303,4.657036
304,4.645196
305,1.823369
307,3.37392
310,1.77371
312,2.35597
314,1.471481
318,1.6755
321,1.866483
322,1.603309
323,3.213174
324,1.850984
325,5.122336
326,1.38779
329,3.102201
330,2.112704
331,2.182237
332,4.900697
333,5.30804
334,2.096144
336,1.73609
341,2.172675
342,10.440093
343,1.817636
344,1.753947
345,4.94211
346,1.91531
347,2.284105
348,1.266671
349,2.459906
350,1.471792
351,2.370519
352,2.700315
353,3.429065
354,4.369867
357,3.324408
358,3.25289
360,1.48339
361,2.796245
362,1.739995
370,3.351721
371,1.41241
373,2.56065
375,3.630377
378,1.290801
380,2.140589
381,2.839994
383,1.457727
384,2.228173
385,2.152108
386,1.734877
389,1.805586
398,3.33
404,1.294382
405,2.637414
411,1.889897
412,2.423771
413,1.433257
414,2.716504
415,2.837913
416,2.403045
418,1.606957
421,1.548827
422,3.889842
423,4.419623
424,2.656564
426,2.150524
429,5.897451
430,1.676461
431,6.012884
432,2.607221
433,1.743244
434,1.403449
436,2.570336
438,1.40109
440,2.179672
442,1.498233
447,2.883054
449,1.415025
450,1.920468
451,1.387378
452,2.133124
453,2.167376
455,1.548656
457,3.611108
458,2.379373
459,1.975587
460,1.73427
461,2.116233
464,1.450065
466,1.913062
467,1.553999
470,1.92019
472,4.681781
474,2.060255
478,2.230129
480,3.322446
481,2.313083
482,2.259972
486,3.78009
487,4.031102
488,2.284481
489,2.760833
490,2.228929
491,2.11562
493,3.519652
494,4.589111
495,3.436594
496,3.333396
499,3.3233
500,5.797665
502,2.574326
503,3.926054
504,2.744588
505,1.631729
513,2.953341
514,2.444238
515,2.294341
516,1.899508
519,1.900841
521,1.739042
523,2.4412
525,4.23297
526,3.416745
529,1.51328
530,4.398163
531,2.650444
535,3.532354
536,1.829624
537,0.915634
540,4.539001
541,4.803715
542,1.518514
543,2.22224
546,3.551508
549,3.05041
557,1.617475
558,2.498109
559,2.561383
561,3.743417
565,2.328865
566,2.349712
567,2.258011
568,3.26511
572,2.104476
574,1.621056
576,1.708981
577,2.057518
579,1.999773
582,1.730048
583,3.142362
586,5.755076
587,1.739616
588,2.87382
589,1.312807
590,2.070462
591,1.398992
592,1.293677
593,2.937603
594,1.497339
595,1.718356
596,1.813494
599,1.609926
600,1.557606
601,2.63601
604,2.085303
605,1.549139
607,2.254386
610,1.533398
611,1.728777
614,2.191729
615,1.632363
617,1.202112
618,3.363248
620,1.278897
621,1.482031
624,2.449789
626,2.086524
630,1.325743
631,1.371293
633,1.439361
634,1.728651
635,1.329554
636,1.303611
637,1.378868
638,1.36571
640,1.080571
641,1.589943
642,1.585013
643,2.642046
644,2.425178
645,2.142344
646,2.368728
649,1.169389
650,1.358897
651,1.371587
652,1.460586
654,1.640718
659,1.437919
662,3.458536
663,1.952867
666,1.234746
668,1.770791
669,1.502881
670,2.069154
671,1.994606
673,1.907869
675,1.390039
679,2.756932
683,1.75254
687,2.155115
688,1.911243
692,1.286052
693,3.097538
701,1.18182
702,1.211175
710,1.083234
713,0.586407
714,1.5748
716,1.296491
717,1.468554
718,0.689716
719,2.022742
720,1.480467
721,3.327466
722,3.668407
723,1.089496
724,1.581029
726,1.736125
727,2.735318
728,1.448236
730,1.962474
731,1.265707
732,1.251201
733,1.456495
734,1.486396
737,1.318822
738,1.742067
739,1.812441
740,1.18092
741,1.539028
742,1.922739
743,1.28625
745,1.305143
747,2.591366
748,1.506889
749,3.46577
752,1.574958
753,1.549438
755,1.58199
756,1.431876
758,1.054812
759,1.514465
762,1.562147
763,1.30828
764,1.488556
765,1.566437
766,2.916649
767,1.394334
768,1.577555
770,0.0
771,1.211559
772,4.038704
773,1.268892
774,3.362968
775,2.870952
776,1.195223
777,1.223851
778,2.51752
780,2.498646
781,0.822337
783,1.349468
785,1.95735
786,2.441821
787,1.336563
788,1.456283
791,1.340201
793,2.01171
796,1.429231
799,1.441367
801,2.055964
803,2.005166
804,2.591359
805,1.352521
806,2.258209
808,1.767642
809,2.485999
810,1.566133
813,10.859019
814,1.87518
816,2.590809
817,1.667111
818,2.187212
821,0.991733
823,2.151648
824,2.597105
825,1.486598
830,1.331994
831,2.736109
832,2.712438
833,1.136732
834,1.864787
835,1.679999
837,1.351546
838,1.520056
839,1.347925
840,1.680228
841,1.839992
844,3.939915
845,2.22841
848,0.963364
854,2.193943
855,1.818622
863,0.786205
864,2.251692
865,1.401949
867,1.304352
868,3.263422
869,1.899456
870,2.200891
873,1.784189
876,2.459271
877,1.386925
879,1.599097
882,1.944867
887,2.327652
890,1.503993
893,1.87797
894,1.651312
896,1.508615
897,1.686665
898,1.654018
899,1.949355
901,1.16083
902,1.485831
903,2.008985
904,1.890437
908,1.742072
911,1.814581
913,1.768313
914,0.926442
915,0.922154
916,1.435046
917,1.701637
919,1.622753
920,1.918339
921,1.341339
922,2.117028
923,1.600336
926,1.668221
927,1.237413
928,1.744907
929,1.389537
930,1.56433
932,1.619483
934,1.460732
935,1.633076
937,1.391711
939,1.584401
940,1.600013
941,2.73342
942,2.943222
943,1.761987
946,2.723009
947,1.875663
948,1.567753
950,2.000076
953,1.436288
955,1.064737
956,1.448168
957,1.385611
958,1.350039
959,1.263847
961,1.770766
964,1.379178
965,1.801829
966,1.266814
968,1.402861
970,1.378396
973,2.038442
974,1.30851
976,1.323554
977,1.467304
979,1.186558
980,1.667868
981,1.810668
984,1.613822
985,1.652644
986,1.563313
988,7.610108
989,2.187548
990,1.150043
991,1.408706
994,6.022621
995,5.72862
996,1.603881
997,1.936428
1004,1.247979
1005,4.527523
1007,1.62276
1009,5.614297
1011,2.985944
1013,1.530167
1014,1.378209
1015,2.722153
1016,2.691018
1017,6.151001
1020,4.93782
1023,1.430157
1024,1.585758
1025,1.658144
1026,2.324599
1027,1.375978
1029,1.505171
1031,1.533578
1033,1.451403
1034,1.584168
1035,1.334555
1038,1.496263
1039,1.788825
1040,1.614041
1041,2.437783
1043,1.890729
1044,1.331554
1045,2.163947
1047,2.447081
1049,1.355354
1052,1.356147
1053,1.266981
1055,1.628794
1056,2.649889
1059,1.674823
1063,1.440913
1065,1.622296
1067,1.450248
1068,1.58363
1069,2.115441
1070,1.818736
1071,1.561163
1072,2.039386
1073,1.895821
1079,2.893636
1081,1.961093
1082,1.679453
1084,1.762707
1086,1.450353
1087,1.62587
1089,1.650027
1098,1.423359
1102,1.548577
1105,1.603004
1108,1.478251
1112,1.461118
1114,1.809058
1116,1.3431
1117,1.405461
1118,1.670485
1119,1.773375
1120,0.950014
1124,1.511602
1125,1.771477
1126,1.374085
1132,1.646068
1133,1.566002
1134,2.458472
1137,2.073953
1138,0.89617
1142,1.303643
1143,1.890468
1144,1.509543
1148,1.510055
1149,1.309568
1151,1.50122
1152,1.765224
1155,2.759654
1156,1.254907
1158,1.709149
1159,2.310394
1162,1.27082
1163,1.617103
1166,1.824193
1168,2.185689
1169,1.831989
1170,3.511499
1173,3.716462
1178,1.781576
1179,1.634297
1180,1.494724
1182,1.540491
1183,1.622873
1184,1.954038
1185,1.526316
1187,1.520332
1188,1.976927
1189,1.674886
1190,1.723402
1192,1.570251
1194,1.548053
1195,2.474931
1196,1.450727
1197,1.828674
1199,1.64825
1210,1.205589
1211,1.689295
1215,1.637851
1219,2.33816
1220,1.583947
1222,1.450245
1225,1.242273
1226,2.103147
1233,1.128594
1234,1.674749
1235,1.204416
1236,1.519157
1237,0.890529
1239,1.586553
1241,2.239119
1242,1.396851
1243,1.286739
1245,1.88013
1246,1.950769
1247,1.575431
1248,1.57757
1251,2.563754
1253,2.065836
1255,2.046679
1256,1.623871
1257,1.399215
1258,2.739753
1259,1.759084
1261,1.685969
1262,1.689861
1263,2.540202
1265,1.940052
1266,1.922252
1267,2.292747
1270,1.925916
1271,1.709565
1272,2.013243
1273,1.624793
1274,2.221034
1275,1.712544
1288,1.21431
1290,2.240491
1291,2.00615
1292,2.235212
1293,1.486393
1295,1.898769
1296,3.115923
1297,2.385141
1298,3.700691
1299,1.449988
1302,1.799901
1303,3.256205
1305,2.389682
1308,3.00328
1311,3.108317
1312,2.105616
1313,2.394042
1314,1.874292
1315,3.309969
1316,1.75481
1319,2.260173
1323,1.954411
1324,2.216272
1325,1.737175
1327,1.872262
1328,2.485992
1332,2.132885
1336,1.944511
1337,1.094694
1339,1.413945
1340,2.544525
1341,2.193923
1344,2.537467
1349,1.427849
1352,2.179005
1353,1.463493
1354,1.188627
1355,1.866283
1356,1.585007
1357,1.445834
1358,1.343331
1360,1.245094
1362,2.631175
1373,2.047003
1375,1.329757
1384,1.461055
1386,1.829201
1389,2.059218
1390,3.482427
1391,1.263553
1392,1.129764
1395,3.902159
1396,1.887102
1399,1.663304
1404,1.464601
1405,1.511885
1406,2.702835
1408,3.454545
1411,2.596443
1413,1.979927
1416,1.365574
1418,2.3279
1419,3.504162
1424,1.563003
1428,1.679803
1429,1.295777
1430,1.907049
1433,1.690791
1434,1.056814
1438,1.039206
1439,1.916785
1440,2.033946
1443,1.751127
1444,1.122043
1445,3.0299
1446,1.998226
1447,1.941045
1449,1.051844
1451,1.695238
1454,1.690976
1456,1.701418
1458,3.204848
1460,2.109444
1462,2.187991
1468,2.30267
1469,2.312097
1472,0.860312
1476,1.905853
1479,2.180935
1483,2.040249
1484,2.587603
1485,2.184153
1486,2.508151
1487,2.298466
1488,3.361288
1490,1.324948
1492,2.122009
1495,3.417662
1496,1.966276
1497,3.680032
1498,2.016698
1499,1.602503
1500,5.035889
1501,1.431622
1503,2.249857
1504,2.020488
1505,1.29341
1506,1.456357
1507,6.475376
1508,2.09503
1512,1.76437
1513,1.496895
1516,1.749539
1518,2.357052
1519,1.36755
1520,1.51727
1521,2.379454
1522,1.496973
1525,1.741559
1528,1.613907
1529,2.372006
1531,1.268578
1532,2.953468
1537,2.394352
1539,2.159477
1542,1.613657
1543,1.447436
1545,1.482217
1546,2.685229
1547,3.094217
1548,2.172509
1550,1.700015
1551,1.488199
1553,1.566184
1554,2.213515
1555,3.005884
1556,2.413712
1558,2.34742
1559,1.477994
1560,1.81309
1562,0.934719
1568,2.394875
1571,3.192053
1572,2.606708
1575,1.444301
1577,2.717427
1581,6.700424
1585,1.790731
1586,1.22374
1590,1.617514
1593,1.804965
1596,2.121243
1598,1.538483
1599,1.97602
1600,1.851523
1601,2.388042
1602,1.566721
1603,1.664471
1604,2.443424
1605,1.703996
1607,2.969095
1608,3.124504
1612,3.037404
1618,4.638479
1620,2.495383
1621,2.25144
1622,2.976267
1624,1.529229
1625,1.482926
1626,1.709052
1627,3.378944
1628,2.68686
1632,5.128396
1640,3.115849
1641,3.018765
1644,6.286603
1649,2.742466
1652,0.761474
1655,0.991348
1662,1.578249
1671,2.269881
1672,1.706982
1679,1.752423
1681,1.594225
1686,2.018192
1687,2.205366
1692,2.133219
1693,2.005013
1695,1.820814
1696,1.831246
1697,1.538589
1701,2.042444
1703,1.296228
1705,1.711182
1706,2.702531
1707,1.871747
1708,2.167626
1721,1.854074
1722,2.16143
1723,1.353371
1726,1.252146
1729,1.368853
1731,2.388471
1746,2.170664
1749,1.769425
1751,3.501998
1752,1.312376
1753,1.905389
1758,1.841869
1759,1.676842
1760,1.800396
1762,1.477428
1766,1.096236
1769,1.714977
1772,2.478886
1777,2.013006
1778,1.464554
1779,1.648534
1781,1.482873
1787,2.383149
1788,1.545689
1789,2.515999
1791,2.060055
1793,1.687873
1796,1.983086
1797,1.772438
1801,1.456951
1802,2.837053
1803,1.563377
1804,1.324407
1806,4.757841
1807,2.075439
1808,1.589823
1810,1.959299
1812,2.102408
1813,1.795613
1815,5.082165
1816,2.20658
1817,1.94151
1819,2.281044
1820,2.244242
1821,1.565967
1822,2.137612
1825,2.692924
1826,1.6215
1827,2.589915
1828,1.845141
1831,2.567781
1832,3.255329
1838,1.890599
1839,2.852601
1841,2.383037
1843,2.248143
1844,2.743559
1846,2.243718
1850,2.421622
1851,2.674045
1852,2.879176
1858,2.318722
1859,1.957311
1863,2.030418
1864,1.526405
1865,2.067946
1868,1.522583
1869,2.791645
1870,1.925047
1871,3.001842
1872,3.568175
1873,1.821479
1874,1.754741
1875,5.055272
1876,3.017346
1877,1.588006
1879,2.038921
1880,1.950625
1881,2.785792
1882,1.452243
1884,1.574336
1887,2.705122
1888,1.992287
1889,0.590994
1890,2.367033
1891,0.84696
1892,0.096451
1893,0.756884
1894,2.243143
1895,1.472075
1897,1.916754
1899,2.0112
1900,2.515903
1904,2.393335
1906,1.401605
1907,1.648704
1909,3.737058
1910,3.678794
1911,1.782142
1913,1.495722
1915,6.236425
1919,1.71121
1920,2.441034
1921,1.39622
1925,3.084725
1926,2.897798
1927,1.383383
1937,1.374295
1939,2.67561
1945,1.254901
1954,1.411866
1959,1.364674
1960,2.613633
1962,1.34084
1964,1.614363
1965,1.594034
1967,1.00023
1972,1.441789
1974,0.838062
1975,1.935209
1976,2.160558
1977,1.37973
1978,1.912798
1979,1.694363
1980,2.343521
1981,1.258161
1982,2.152824
1983,1.641606
1986,1.577324
1987,1.845056
1988,1.586397
1989,1.466288
1990,1.919393
1991,2.867892
1994,1.19899
1997,2.061792
1999,1.182115
2000,1.562847
2001,1.796997
2002,2.197416
2003,2.222428
2004,1.343197
2007,1.219241
2008,1.406755
2013,2.021971
2016,1.902579
2017,2.090955
2018,0.793948
2019,1.722662
2020,1.180294
2027,1.754192
2029,2.678618
2032,1.640402
2034,1.60356
2037,2.056045
2038,1.465107
2039,2.347145
2043,2.837064
2047,1.296421
2048,1.672406
2049,1.382531
2061,1.457408
2062,1.361938
2063,1.572014
2064,2.742042
2066,1.430154
2068,1.725595
2069,1.629029
2071,1.72373
2072,0.754663
2076,1.599345
2077,3.986051
2079,1.454633
2080,2.286844
2081,1.978189
2082,1.432433
2083,2.172848
2084,2.024953
2086,2.389693
2087,0.941544
2088,1.298958
2095,1.258252
2096,1.727958
2099,4.735562
2100,1.478303
2101,1.344164
2102,1.363237
2103,2.585236
2105,3.037141
2106,1.634542
2109,1.2225
2110,1.897917
2111,1.562488
2113,1.394195
2114,1.968515
2115,1.821159
2117,1.270706
2118,2.071133
2119,1.722651
2120,1.476279
2121,1.755855
2122,1.151457
2123,2.899434
2124,1.678893
2125,1.568016
2126,1.781639
2127,1.452891
2128,2.977057
2129,1.681817
2130,1.706968
2131,1.498824
2133,2.80773
2134,1.392305
2135,1.50413
2136,2.826927
2137,2.541995
2138,1.851989
2139,2.224397
2141,1.109477
2143,2.133642
2144,2.262727
2145,1.748029
2146,1.612717
2147,1.67654
2148,1.734103
2149,1.760777
2151,1.721322
2153,2.306705
2154,1.727324
2156,2.049094
2158,1.475233
2160,4.951298
2162,1.923231
2167,1.666264
2169,2.125353
2170,1.465356
2172,3.334337
2173,2.917586
2174,1.56564
2175,3.58514
2177,3.771416
2178,3.500315
2179,1.770653
2184,6.835645
2185,1.458168
2186,1.919285
2193,2.03265
2194,2.811554
2196,1.404332
2199,2.483899
2200,1.902242
2202,2.911756
2203,1.572384
2204,3.603694
2205,2.85464
2206,3.715229
2207,2.728236
2210,1.704144
2212,2.770698
2213,1.914148
2215,2.0357
2216,1.263862
2217,3.513363
2220,2.235681
2221,2.667596
2222,1.536725
2223,1.429884
2226,1.259785
2228,1.484711
2230,2.272075
2232,1.67008
2233,2.187891
2234,1.084259
2236,1.590829
2240,1.635959
2241,3.059864
2247,3.214035
2252,1.370963
2258,5.519462
2264,2.133703
2265,2.832351
2269,1.749637
2270,2.6718
2274,2.570333
2280,2.437215
2281,1.765081
2282,2.132335
2283,2.035163
2285,1.423359
2286,1.38616
2288,2.102045
2294,2.102965
2296,2.446992
2299,1.667692
2302,2.262064
2303,2.653498
2305,1.33571
2308,1.803033
2309,1.647254
2311,2.034144
2312,1.750835
2314,1.618847
2315,1.501892
2316,1.412974
2318,2.415833
2319,0.536689
2320,1.862093
2321,1.871969
2322,1.518147
2328,0.954304
2338,1.234578
2339,1.895598
2340,1.294449
2343,1.482901
2344,1.642162
2346,1.852154
2347,1.626168
2348,1.498427
2349,1.946364
2350,1.344429
2354,1.430244
2355,1.255579
2356,1.332816
2358,1.840973
2359,1.573134
2360,3.03421
2361,1.412772
2362,3.149126
2363,1.786923
2364,2.03716
2365,3.292361
2366,2.267373
2367,2.800958
2368,3.051742
2370,2.353298
2371,1.465469
2372,2.166234
2375,2.11762
2376,1.771008
2381,2.295734
2382,1.218363
2387,4.128347
2389,1.53374
2390,1.745885
2391,3.958554
2392,2.569289
2407,3.352486
2413,2.403744
2415,3.390991
2419,2.291026
2422,3.543436
2423,1.777496
2426,1.844125
2430,2.168569
2432,1.89897
2433,1.838856
2436,1.837093
2437,1.648248
2438,1.552207
2439,1.353368
2441,1.568272
2444,1.687084
2445,1.553274
2446,1.547666
2447,1.314464
2448,1.629984
2449,1.351745
2451,2.574713
2452,1.522203
2453,1.539818
2454,1.535341
2456,2.452052
2458,2.069
2459,2.054508
2460,2.240133
2461,1.526931
2462,2.70607
2463,1.416896
2464,3.137124
2466,1.40417
2467,1.334594
2468,1.442643
2471,1.847278
2472,1.417299
2473,1.299556
2474,1.232262
2476,1.320763
2478,1.37049
2479,1.28979
2480,1.565003
2481,2.494676
2482,1.470836
2484,1.32396
2486,2.195533
2487,1.635538
2488,2.000743
2489,1.386579
2490,1.544648
2492,1.967416
2495,1.216997
2499,2.135825
2500,1.301974
2502,1.164092
2503,2.24605
2506,1.890867
2507,2.156629
2508,1.726989
2511,1.35431
2513,1.378302
2516,1.682564
2517,1.403387
2518,1.4648
2519,1.446692
2520,2.398793
2521,1.265397
2522,1.46941
2524,2.468516
2525,2.488127
2528,2.195803
2529,1.4356
2530,1.965011
2532,2.31747
2533,1.717676
2535,1.90599
2536,1.72016
2537,2.02532
2538,2.310236
2539,2.448728
2540,1.360487
2544,1.017007
2546,3.396135
2547,2.643408
2548,1.478648
2549,1.432357
2550,2.122571
2551,1.52352
2552,1.53884
2553,1.07712
2554,1.998644
2555,1.827894
2556,1.336772
2559,2.366305
2561,2.051769
2562,1.819274
2567,1.413409
2568,1.664523
2569,1.531162
2571,1.917659
2572,1.626121
2574,1.623431
2575,1.564159
2576,1.428818
2577,1.921724
2578,1.745299
2579,1.568067
2580,2.894005
2583,1.828872
2587,2.051286
2588,2.021253
2591,1.573749
2594,1.267891
2599,2.357749
2601,1.46707
2603,1.581808
2605,1.326417
2607,1.405453
2610,1.096615
2611,2.68258
2613,1.542678
2615,1.380894
2616,1.462149
2617,1.454514
2618,4.203854
2620,1.407555
2621,1.69808
2622,1.770025
2623,0.742647
2625,2.056963
2627,1.639848
2628,1.878642
2629,1.367686
2630,1.825631
2632,2.000369
2635,1.50652
2636,2.007717
2638,1.333455
2642,2.205512
2643,1.478686
2644,1.420583
2645,3.560806
2646,1.701243
2648,1.950851
2649,2.41665
2651,2.08659
2653,2.190486
2654,1.925115
2655,2.1678
2657,1.876712
2658,1.720379
2659,1.896098
2661,3.279487
2663,1.629462
2664,0.922738
2665,2.455173
2666,1.91209
2667,2.329095
2668,1.825468
2669,6.817875
2670,1.536428
2671,1.536417
2672,2.341526
2674,3.48618
2677,1.813944
2679,1.701153
2680,1.753928
2681,1.369817
2682,4.433999
2683,1.679053
2684,1.636114
2685,1.691291
2686,1.684551
2691,1.283256
2692,1.756558
2693,2.256036
2695,2.242686
2708,1.900682
2709,1.953318
2718,1.355747
2719,1.51668
2720,3.617724
2721,2.00421
2722,1.488657
2723,2.173687
2724,1.047118
2725,1.42672
2727,2.295089
2728,2.137575
2729,1.409738
2730,1.18201
2731,1.567592
2732,2.107735
2735,2.489608
2736,1.325558
2737,1.168218
2740,3.058942
2744,0.042844
2745,1.48504
2748,0.434058
2749,0.843768
2754,1.041923
2761,1.472829
2763,1.37166
2766,1.289091
2774,2.997809
2775,1.415552
2780,2.812206
2785,2.298665
2786,2.096198
